id,barcket_id:id,name,rank
rank_108_1,payroll_bracket_108,1,23100
rank_108_2,payroll_bracket_108,2,24000
rank_108_3,payroll_bracket_108,3,25200
rank_108_4,payroll_bracket_108,4,26400
rank_108_5,payroll_bracket_108,5,27600
rank_108_6,payroll_bracket_108,6,28800
rank_108_7,payroll_bracket_108,7,30300
rank_108_8,payroll_bracket_108,8,31800
rank_108_9,payroll_bracket_108,9,33300
rank_108_10,payroll_bracket_108,10,34800
rank_108_11,payroll_bracket_108,11,36300
rank_108_12,payroll_bracket_108,12,38200
rank_108_13,payroll_bracket_108,13,40100
rank_108_14,payroll_bracket_108,14,42000
rank_108_15,payroll_bracket_108,15,43900
rank_108_16,payroll_bracket_108,16,45800
rank_108_17,payroll_bracket_108,17,48200
rank_108_18,payroll_bracket_108,18,50600
rank_108_19,payroll_bracket_108,19,53000
rank_108_20,payroll_bracket_108,20,55400
rank_108_21,payroll_bracket_108,21,57800
rank_108_22,payroll_bracket_108,22,60800
rank_108_23,payroll_bracket_108,23,63800
rank_108_24,payroll_bracket_108,24,66800
rank_108_25,payroll_bracket_108,25,69800
rank_108_26,payroll_bracket_108,26,72800
rank_108_27,payroll_bracket_108,27,76500
rank_108_28,payroll_bracket_108,28,80200
rank_108_29,payroll_bracket_108,29,83900
rank_108_30,payroll_bracket_108,30,87600
rank_108_31,payroll_bracket_108,31,92100
rank_108_32,payroll_bracket_108,32,96600
rank_108_33,payroll_bracket_108,33,101100
rank_108_34,payroll_bracket_108,34,105600
rank_108_35,payroll_bracket_108,35,110100
rank_108_36,payroll_bracket_108,36,115500
rank_108_37,payroll_bracket_108,37,120900
rank_108_38,payroll_bracket_108,38,126300
rank_108_39,payroll_bracket_108,39,131700
rank_108_40,payroll_bracket_108,40,137100
rank_108_41,payroll_bracket_108,41,142500
rank_108_42,payroll_bracket_108,42,147900
rank_108_43,payroll_bracket_108,43,150000
rank_108_44,payroll_bracket_108,44,156400
rank_108_45,payroll_bracket_108,45,162800
rank_108_46,payroll_bracket_108,46,169200
rank_108_47,payroll_bracket_108,47,175600
rank_108_48,payroll_bracket_108,48,182000
